ID,confidence,logC,T,G
13,35,3.5557808682,4,0
13,1,0.0099503309,5,0
13,1,0.0099503309,6,0
13,2,0.6981849746,7,0
13,20,2.9963493671,8,0
14,50,3.9124150854,1,0
14,40,3.6892892062,2,0
14,80,4.3826216957,3,0
14,50,3.9124150854,4,0
14,40,3.6892892062,5,0
14,90,4.5008192615,6,0
14,80,4.3826216957,7,0
14,50,3.9124150854,8,0
15,5,1.6115190786,1,1
15,5,1.6115190786,2,1
15,75,4.3180008026,3,1
15,20,2.9963493671,4,1
15,10,2.3036833907,5,1
15,20,2.9963493671,6,1
15,10,2.3036833907,7,1
15,25,3.2194020022,8,1
16,70,4.2489559654,1,0
16,65,4.174814529,2,0
16,60,4.0947509837,3,0
16,40,3.6892892062,4,0
16,30,3.4016667551,5,0
16,70,4.2489559654,6,0
16,70,4.2489559654,7,0
16,50,3.9124150854,8,0
17,40,3.6892892062,1,1
17,80,4.3826216957,2,1
17,50,3.9124150854,3,1
17,50,3.9124150854,4,1
17,50,3.9124150854,5,1
17,80,4.3826216957,6,1
17,30,3.4016667551,7,1
17,75,4.3180008026,8,1
18,50,3.9124150854,1,1
18,65,4.174814529,2,1
18,60,4.0947509837,3,1
18,60,4.0947509837,4,1
18,65,4.174814529,5,1
18,40,3.6892892062,6,1
18,60,4.0947509837,7,1
18,60,4.0947509837,8,1
19,50,3.9124150854,1,0
19,25,3.2194020022,2,0
19,40,3.6892892062,3,0
19,1,0.0099503309,4,0
19,0,-4.615120517,5,0
19,40,3.6892892062,6,0
19,40,3.6892892062,7,0
19,0,-4.615120517,8,0
20,70,4.2489559654,1,1
20,40,3.6892892062,2,1
20,50,3.9124150854,3,1
20,50,3.9124150854,4,1
20,75,4.3180008026,5,1
20,50,3.9124150854,6,1
20,60,4.0947509837,7,1
20,30,3.4016667551,8,1
21,80,4.3826216957,1,0
21,50,3.9124150854,2,0
21,80,4.3826216957,3,0
21,80,4.3826216957,4,0
21,0,-4.615120517,5,0
21,100,4.6151205168,6,0
21,60,4.0947509837,7,0
21,50,3.9124150854,8,0
22,50,3.9124150854,1,1
22,35,3.5557808682,2,1
22,50,3.9124150854,3,1
22,20,2.9963493671,4,1
22,15,2.7088250946,5,1
22,35,3.5557808682,6,1
22,35,3.5557808682,7,1
22,35,3.5557808682,8,1
23,0,-4.615120517,1,1
23,30,3.4016667551,2,1
23,50,3.9124150854,3,1
23,25,3.2194020022,4,1
23,40,3.6892892062,5,1
23,58,4.0608438925,6,1
23,76,4.3312595176,7,1
23,40,3.6892892062,8,1
24,40,3.6892892062,1,0
24,65,4.174814529,2,0
24,35,3.5557808682,3,0
24,50,3.9124150854,4,0
24,20,2.9963493671,5,0
24,40,3.6892892062,6,0
24,60,4.0947509837,7,0
24,35,3.5557808682,8,0
25,50,3.9124150854,1,0
25,50,3.9124150854,2,0
25,50,3.9124150854,3,0
25,50,3.9124150854,4,0
25,50,3.9124150854,5,0
25,50,3.9124150854,6,0
25,50,3.9124150854,7,0
25,60,4.0947509837,8,0
26,0,-4.615120517,1,0
26,0,-4.615120517,2,0
26,40,3.6892892062,3,0
26,0,-4.615120517,4,0
26,0,-4.615120517,5,0
26,50,3.9124150854,6,0
26,0,-4.615120517,7,0
26,0,-4.615120517,8,0
27,4,1.3888683651,1,1
27,50,3.9124150854,2,1
27,50,3.9124150854,3,1
27,50,3.9124150854,4,1
27,20,2.9963493671,5,1
27,20,2.9963493671,6,1
27,50,3.9124150854,7,1
27,30,3.4016667551,8,1
28,0,-4.615120517,1,0
28,0,-4.615120517,2,0
28,50,3.9124150854,3,0
28,0,-4.615120517,4,0
28,0,-4.615120517,5,0
28,0,-4.615120517,6,0
28,10,2.3036833907,7,0
28,50,3.9124150854,8,0
29,75,4.3180008026,1,0
29,50,3.9124150854,2,0
29,50,3.9124150854,3,0
29,50,3.9124150854,4,0
29,50,3.9124150854,5,0
29,30,3.4016667551,6,0
29,80,4.3826216957,7,0
29,50,3.9124150854,8,0
30,50,3.9124150854,1,1
30,50,3.9124150854,2,1
30,50,3.9124150854,3,1
30,80,4.3826216957,4,1
30,50,3.9124150854,5,1
30,50,3.9124150854,6,1
30,40,3.6892892062,7,1
30,50,3.9124150854,8,1
31,0,-4.615120517,1,0
31,0,-4.615120517,2,0
31,30,3.4016667551,3,0
31,0,-4.615120517,4,0
31,20,2.9963493671,5,0
31,20,2.9963493671,6,0
31,30,3.4016667551,7,0
31,0,-4.615120517,8,0
32,25,3.2194020022,1,0
32,0,-4.615120517,2,0
32,50,3.9124150854,3,0
32,10,2.3036833907,4,0
32,75,4.3180008026,5,0
32,50,3.9124150854,6,0
32,70,4.2489559654,7,0
32,25,3.2194020022,8,0
33,60,4.0947509837,1,0
33,50,3.9124150854,2,0
33,60,4.0947509837,3,0
33,45,3.8070592365,4,0
33,60,4.0947509837,5,0
33,50,3.9124150854,6,0
33,40,3.6892892062,7,0
33,40,3.6892892062,8,0
34,60,4.0947509837,1,1
34,70,4.2489559654,2,1
34,75,4.3180008026,3,1
34,80,4.3826216957,4,1
34,20,2.9963493671,5,1
34,40,3.6892892062,6,1
34,20,2.9963493671,7,1
34,25,3.2194020022,8,1
35,10,2.3036833907,1,0
35,20,2.9963493671,2,0
35,0,-4.615120517,3,0
35,0,-4.615120517,4,0
35,0,-4.615120517,5,0
35,1,0.0099503309,6,0
35,10,2.3036833907,7,0
35,0,-4.615120517,8,0
36,20,2.9963493671,1,1
36,15,2.7088250946,2,1
36,0,-4.615120517,3,1
36,2,0.6981849746,4,1
36,0,-4.615120517,5,1
36,40,3.6892892062,6,1
36,50,3.9124150854,7,1
36,60,4.0947509837,8,1
37,40,3.6892892062,1,1
37,20,2.9963493671,2,1
37,50,3.9124150854,3,1
37,55,4.0077283641,4,1
37,70,4.2489559654,5,1
37,63,4.1435523501,6,1
37,70,4.2489559654,7,1
37,80,4.3826216957,8,1
38,65,4.174814529,1,1
38,50,3.9124150854,2,1
38,60,4.0947509837,3,1
38,60,4.0947509837,4,1
38,60,4.0947509837,5,1
38,40,3.6892892062,6,1
38,50,3.9124150854,7,1
38,25,3.2194020022,8,1
39,15,2.7088250946,1,0
39,5,1.6115190786,2,0
39,10,2.3036833907,3,0
39,5,1.6115190786,4,0
39,15,2.7088250946,5,0
39,2,0.6981849746,6,0
39,5,1.6115190786,7,0
39,10,2.3036833907,8,0
40,12,2.4858425413,1,0
40,10,2.3036833907,2,0
40,10,2.3036833907,3,0
40,25,3.2194020022,4,0
40,2,0.6981849746,5,0
40,60,4.0947509837,6,0
40,0,-4.615120517,7,0
40,5,1.6115190786,8,0
41,75,4.3180008026,1,0
41,85,4.4433862804,2,0
41,72,4.2771449316,3,0
41,65,4.174814529,4,0
41,70,4.2489559654,5,0
41,68,4.2199532387,6,0
41,65,4.174814529,7,0
41,55,4.0077283641,8,0
42,40,3.6892892062,1,0
42,30,3.4016667551,2,0
42,10,2.3036833907,3,0
42,40,3.6892892062,4,0
42,50,3.9124150854,5,0
42,40,3.6892892062,6,0
42,30,3.4016667551,7,0
42,0,-4.615120517,8,0
43,77,4.344346401,1,1
43,75,4.3180008026,2,1
43,75,4.3180008026,3,1
43,65,4.174814529,4,1
43,77,4.344346401,5,1
43,75,4.3180008026,6,1
43,88,4.4782105585,7,1
