_Imputation_,ID,CONFIDENCE1,CONFIDENCE2,CONFIDENCE3,CONFIDENCE4,CONFIDENCE5,CONFIDENCE6,CONFIDENCE7,CONFIDENCE8,GENDER,logC1,logC2,logC3,logC4,logC5,logC6,logC7,logC8
1,720,15,5,0,5,0,0,0,0,0,2.7088250946,1.6115190786,-4.615120517,1.6115190786,-4.615120517,-4.615120517,-4.615120517,-4.615120517
1,767,15,0,0,0,0,,,,0,2.7088250946,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.520930677,-5.614426517,-5.70559273
1,784,15,60,50,,40,60,45,,1,2.7088250946,4.0947509837,3.9124150854,2.60671541,3.6892892062,4.0947509837,3.8070592365,6.5303273389
1,1717,15,25,15,,10,,20,2,0,2.7088250946,3.2194020022,2.7088250946,1.8415578269,2.3036833907,4.2537717613,2.9963493671,0.6981849746
1,1799,15,,,,,,,,1,2.7088250946,8.0977610535,6.8539594514,2.2573678477,7.9902198639,10.008786495,5.61046017,8.4698628069
1,46,20,21,20,20,30,69,60,30,0,2.9963493671,3.0451174987,2.9963493671,2.9963493671,3.4016667551,4.2345593006,4.0947509837,3.4016667551
1,64,20,50,,,,10,,,0,2.9963493671,3.9124150854,1.0347367752,0.900575264,-2.335623851,2.3036833907,0.6732826723,0.6098976868
1,232,20,,,,,,,,1,2.9963493671,5.8109348193,7.5625998101,2.600988372,2.1229391333,7.2893963342,6.8029268171,9.7644879176
1,267,20,5,10,1,2,0,0,,0,2.9963493671,1.6115190786,2.3036833907,0.0099503309,0.6981849746,-4.615120517,-4.615120517,-2.27916123
1,332,20,2,5,20,,,,,0,2.9963493671,0.6981849746,1.6115190786,2.9963493671,-0.023274579,0.3636251641,1.8700281213,2.5558242851
1,334,20,50,60,,,55,60,,0,2.9963493671,3.9124150854,4.0947509837,6.0773937018,10.260862529,4.0077283641,4.0947509837,7.7864657958
1,347,20,0,,,,,,,0,2.9963493671,-4.615120517,2.193060154,2.7510863369,1.5509656897,-0.868719042,4.277502309,4.2419192186
1,370,20,,,,,,,,0,2.9963493671,1.3532211247,1.5944370058,4.0038406832,1.172566816,5.2829386831,4.7489583873,1.7002834073
1,503,20,0,10,3,,0,,,0,2.9963493671,-4.615120517,2.3036833907,1.1020078777,0.6916293916,-4.615120517,0.4177411058,-6.637590082
1,531,20,40,,,,,,,0,2.9963493671,3.6892892062,2.4444320496,3.4508052669,3.5963347657,2.7963835749,1.7258398343,-1.585670966
1,561,20,15,0,2,0,40,50,60,1,2.9963493671,2.7088250946,-4.615120517,0.6981849746,-4.615120517,3.6892892062,3.9124150854,4.0947509837
1,696,20,50,80,20,20,20,60,40,0,2.9963493671,3.9124150854,4.3826216957,2.9963493671,2.9963493671,2.9963493671,4.0947509837,3.6892892062
1,701,20,50,,,,,,,0,2.9963493671,3.9124150854,1.7151473968,3.8010061375,0.6552173835,4.3365718456,2.6754469999,1.7997332236
1,706,20,,,,,10,,,0,2.9963493671,0.4269338938,5.8391294734,1.0191617359,-1.307633959,2.3036833907,2.1096813576,0.9436684029
1,714,20,25,,,50,40,,,1,2.9963493671,3.2194020022,1.0716021408,1.4148884652,3.9124150854,3.6892892062,2.8183390742,4.1202217421
1,716,20,,50,70,,,,,0,2.9963493671,4.5900088902,3.9124150854,4.2489559654,-5.874751944,0.4864824947,2.7552415272,0.6578205298
1,888,20,,,,,,,,1,2.9963493671,4.6752808043,3.7710063499,4.6122264744,3.172469039,8.0690192753,4.5460536633,4.8965636507
1,939,20,,15,20,20,50,55,25,1,2.9963493671,-0.470012616,2.7088250946,2.9963493671,2.9963493671,3.9124150854,4.0077283641,3.2194020022
1,955,20,20,30,10,5,10,5,5,0,2.9963493671,2.9963493671,3.4016667551,2.3036833907,1.6115190786,2.3036833907,1.6115190786,1.6115190786
1,964,20,10,50,0,0,0,60,10,0,2.9963493671,2.3036833907,3.9124150854,-4.615120517,-4.615120517,-4.615120517,4.0947509837,2.3036833907
1,966,20,25,50,,,,,,0,2.9963493671,3.2194020022,3.9124150854,1.1641594817,3.9769250474,1.7363722672,1.6253830411,-0.52567498
1,977,20,,,,,75,60,,0,2.9963493671,4.5083500358,2.6642995644,6.3502676225,5.8969342381,4.3180008026,4.0947509837,1.5111753856
1,1010,20,0,50,0,90,50,0,0,0,2.9963493671,-4.615120517,3.9124150854,-4.615120517,4.5008192615,3.9124150854,-4.615120517,-4.615120517
1,1248,20,40,,,,,,,1,2.9963493671,3.6892892062,8.7690510181,8.3161295362,7.8647422688,4.7320702373,7.248912194,8.0955115034
1,1549,20,40,,,,50,,,0,2.9963493671,3.6892892062,2.3307159529,2.3785182132,0.9943475582,3.9124150854,2.6856729644,2.0601966913
1,1699,20,0,0,,0,0,,,1,2.9963493671,-4.615120517,-4.615120517,-3.497389937,-4.615120517,-4.615120517,-2.93564046,-2.495512984
1,231,23,20,40,24,30,67,80,45,1,3.1360514742,2.9963493671,3.6892892062,3.1785948095,3.4016667551,4.2051315046,4.3826216957,3.8070592365
1,273,24,20,14,20,20,48,20,30,1,3.1785948095,2.9963493671,2.6398780108,2.9963493671,2.9963493671,3.8715940154,2.9963493671,3.4016667551
1,61,25,,,,,50,,,0,3.2194020022,4.1392242581,4.8170308445,2.6501012329,5.653598828,3.9124150854,4.0345661996,5.7274551075
1,104,25,36,,,,,,,0,3.2194020022,3.5839461976,-0.357182902,4.2665301939,1.3269333027,3.6772336762,1.8732970613,1.6615607889
1,161,25,45,50,25,76,50,,,1,3.2194020022,3.8070592365,3.9124150854,3.2194020022,4.3312595176,3.9124150854,3.2570355634,3.9158709919
1,349,25,20,0,20,10,,5,,0,3.2194020022,2.9963493671,-4.615120517,2.9963493671,2.3036833907,1.8814167368,1.6115190786,0.7561999961
1,358,25,15,,,,,,,0,3.2194020022,2.7088250946,4.9896351168,0.4052545684,3.077148618,3.7393021062,1.105184383,1.7955195901
1,513,25,0,50,10,75,50,70,25,0,3.2194020022,-4.615120517,3.9124150854,2.3036833907,4.3180008026,3.9124150854,4.2489559654,3.2194020022
1,543,25,25,,,,,,,0,3.2194020022,3.2194020022,3.0832320113,7.8255003914,2.6311636549,5.9822471953,7.2579174685,4.0082620734
1,680,25,25,44,45,78,60,55,76,0,3.2194020022,3.2194020022,3.7845882785,3.8070592365,4.357266085,4.0947509837,4.0077283641,4.3312595176
1,690,25,,,,,,,,0,3.2194020022,-1.226480082,-2.506516825,3.7341502615,-5.012016926,-0.221517783,-2.576611794,-3.325109772
1,771,25,20,25,50,25,25,,,0,3.2194020022,2.9963493671,3.2194020022,3.9124150854,3.2194020022,3.2194020022,3.2260663265,1.344092485
1,791,25,50,50,80,45,,20,,0,3.2194020022,3.9124150854,3.9124150854,4.3826216957,3.8070592365,6.2400763109,2.9963493671,1.241624916
1,891,25,25,40,23,45,68,75,50,0,3.2194020022,3.2194020022,3.6892892062,3.1360514742,3.8070592365,4.2199532387,4.3180008026,3.9124150854
1,1015,25,20,25,,,50,50,,0,3.2194020022,2.9963493671,3.2194020022,4.0209650238,5.0341047949,3.9124150854,3.9124150854,5.2740054661
1,1028,25,,0,,,,,,0,3.2194020022,1.9067543445,-4.615120517,0.6947095601,-1.949863116,0.1710806,-3.407084107,-2.857405408
1,1138,25,75,,,,,78,,1,3.2194020022,4.3180008026,7.6031183045,3.2969887008,1.7004870984,1.8699751411,4.357266085,7.9128169078
1,1427,25,50,,100,75,,,,1,3.2194020022,3.9124150854,3.1053441403,4.6151205168,4.3180008026,2.7460506357,3.6864931271,2.6692620035
1,1589,25,50,70,65,55,75,80,50,1,3.2194020022,3.9124150854,4.2489559654,4.174814529,4.0077283641,4.3180008026,4.3826216957,3.9124150854
1,1716,25,30,,,,,,,1,3.2194020022,3.4016667551,7.327234629,8.9735208737,8.1668820208,5.5159671774,7.3783917542,10.238064463
1,14,30,0,10,0,40,0,,,0,3.4016667551,-4.615120517,2.3036833907,-4.615120517,3.6892892062,-4.615120517,-1.445526304,-4.740492152
1,177,30,25,,,,89,,,0,3.4016667551,3.2194020022,3.3582112403,1.6661647811,-0.259508141,4.4895722612,0.7587723969,-1.290298343
1,464,30,50,,,,30,30,,0,3.4016667551,3.9124150854,1.1701129757,4.8851035459,0.6369411324,3.4016667551,3.4016667551,4.4379842004
1,760,30,30,30,20,50,35,50,30,1,3.4016667551,3.4016667551,3.4016667551,2.9963493671,3.9124150854,3.5557808682,3.9124150854,3.4016667551
1,876,30,5,50,3,10,20,2,,0,3.4016667551,1.6115190786,3.9124150854,1.1020078777,2.3036833907,2.9963493671,0.6981849746,-2.072990363
1,880,30,,60,,,,20,,0,3.4016667551,2.8017014646,4.0947509837,4.7811405351,6.2397932123,6.4668981514,2.9963493671,3.3196589271
1,965,30,20,25,25,0,10,25,50,0,3.4016667551,2.9963493671,3.2194020022,3.2194020022,-4.615120517,2.3036833907,3.2194020022,3.9124150854
1,1035,30,50,40,30,10,,,,0,3.4016667551,3.9124150854,3.6892892062,3.4016667551,2.3036833907,4.0642496064,3.3191212345,1.2670335473
1,1324,30,50,20,30,,20,70,,1,3.4016667551,3.9124150854,2.9963493671,3.4016667551,2.1108546312,2.9963493671,4.2489559654,0.2829593431
1,1520,30,50,30,5,,20,,,0,3.4016667551,3.9124150854,3.4016667551,1.6115190786,0.1693874738,2.9963493671,0.8025001494,2.2648410436
1,1654,30,,,,,30,,,1,3.4016667551,0.6736309753,2.7841495811,5.2246182101,-4.930135276,3.4016667551,3.8821175385,1.4858899106
1,1344,33,,,,,,,,0,3.496953095,3.4806479313,1.1313116507,4.1827538407,4.0358205444,2.329632831,2.1133878675,2.1615126468
1,1446,33,10,,50,30,,60,,1,3.496953095,2.3036833907,5.8087086794,3.9124150854,3.4016667551,3.5975516072,4.0947509837,0.4388868391
1,117,35,45,35,20,10,4,5,,0,3.5557808682,3.8070592365,3.5557808682,2.9963493671,2.3036833907,1.3888683651,1.6115190786,-0.76893993
1,426,35,20,,,,54,,,0,3.5557808682,2.9963493671,-1.075194852,2.5744469697,0.5100603958,3.98937798,2.4756090451,-0.429752716
1,795,35,,40,50,40,50,50,50,0,3.5557808682,3.0213142904,3.6892892062,3.9124150854,3.6892892062,3.9124150854,3.9124150854,3.9124150854
1,57,40,40,66,25,,25,25,25,1,3.6892892062,3.6892892062,4.1900875488,3.2194020022,-1.21207803,3.2194020022,3.2194020022,3.2194020022
1,121,40,,,,,,,,0,3.6892892062,3.1389184765,-0.049305917,0.1792608181,0.7178247954,1.0563726111,-1.959767219,0.4628825647
1,219,40,60,60,70,30,30,90,25,0,3.6892892062,4.0947509837,4.0947509837,4.2489559654,3.4016667551,3.4016667551,4.5008192615,3.2194020022
1,317,40,40,40,40,35,,,,1,3.6892892062,3.6892892062,3.6892892062,3.6892892062,3.5557808682,5.0422889319,5.7877884424,3.8273930736
1,378,40,80,50,50,50,80,30,75,1,3.6892892062,4.3826216957,3.9124150854,3.9124150854,3.9124150854,4.3826216957,3.4016667551,4.3180008026
1,390,40,50,60,60,70,60,,,1,3.6892892062,3.9124150854,4.0947509837,4.0947509837,4.2489559654,4.0947509837,4.3085064014,3.6665531763
1,394,40,50,55,60,,35,,,0,3.6892892062,3.9124150854,4.0077283641,4.0947509837,3.4436984234,3.5557808682,7.3196915417,4.5300477433
1,445,40,65,35,50,20,40,60,35,0,3.6892892062,4.174814529,3.5557808682,3.9124150854,2.9963493671,3.6892892062,4.0947509837,3.5557808682
1,469,40,,,,,70,,50,1,3.6892892062,2.1567695711,4.1523872661,3.1908456279,6.0810673525,4.2489559654,3.8684190554,3.9124150854
1,569,40,20,50,55,70,63,70,80,1,3.6892892062,2.9963493671,3.9124150854,4.0077283641,4.2489559654,4.1435523501,4.2489559654,4.3826216957
1,600,40,,,,,,,,0,3.6892892062,4.7507523114,3.0909084454,3.8483748862,0.7547574088,1.7920485209,-0.251779444,2.1759841289
1,623,40,50,10,100,,,,,0,3.6892892062,3.9124150854,2.3036833907,4.6151205168,1.0242500094,0.8915442967,3.8274776393,-0.086333911
1,678,40,30,10,40,50,40,30,0,0,3.6892892062,3.4016667551,2.3036833907,3.6892892062,3.9124150854,3.6892892062,3.4016667551,-4.615120517
1,709,40,50,30,0,,,,,0,3.6892892062,3.9124150854,3.4016667551,-4.615120517,-5.677650316,2.8556506238,0.667923168,-0.184007112
1,822,40,25,50,45,0,50,50,50,0,3.6892892062,3.2194020022,3.9124150854,3.8070592365,-4.615120517,3.9124150854,3.9124150854,3.9124150854
1,842,40,40,40,40,,10,,,0,3.6892892062,3.6892892062,3.6892892062,3.6892892062,-0.293118754,2.3036833907,1.429946946,0.9514239075
1,1120,40,50,,,,50,,50,0,3.6892892062,3.9124150854,2.2502742542,4.0996690497,3.9469104166,3.9124150854,4.2002390996,3.9124150854
1,1167,40,,,,,,,,0,3.6892892062,3.4580259117,4.1467959813,1.5096505489,2.2441550457,2.4171579468,3.2832833078,4.6099972847
1,1330,40,,40,25,20,50,30,0,0,3.6892892062,2.9926484821,3.6892892062,3.2194020022,2.9963493671,3.9124150854,3.4016667551,-4.615120517
1,1550,40,,,,,,65,75,1,3.6892892062,6.2815385132,4.4327860797,3.3961908082,2.9315068395,5.0707033805,4.174814529,4.3180008026
1,1796,40,40,30,65,40,,,30,1,3.6892892062,3.6892892062,3.4016667551,4.174814529,3.6892892062,6.537952185,2.0193895015,3.4016667551
1,34,45,30,50,,,51,30,,1,3.8070592365,3.4016667551,3.9124150854,2.1898687333,0.2364870646,3.9322177127,3.4016667551,3.4994139968
1,35,45,25,40,25,25,50,50,,1,3.8070592365,3.2194020022,3.6892892062,3.2194020022,3.2194020022,3.9124150854,3.9124150854,6.7405257448
1,864,45,,,12,24,,,,0,3.8070592365,2.9609841374,-0.104908576,2.4858425413,3.1785948095,3.6615503191,0.3823106815,2.6206920067
1,1326,45,,44,,,,,,0,3.8070592365,6.074861491,3.7845882785,2.4788893286,2.6154589479,3.5662997398,-1.68460823,2.4135934464
